filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IPool.sol,IPool.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464563.7376242,15.230441808700562,255,,,"EXIT_CODE_255,No compiler output for: /sb/IPool.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IPoolAddressesProvider.sol,IPoolAddressesProvider.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464234.1675208,29.01000142097473,0,,,,
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IPriceOracleGetter.sol,IPriceOracleGetter.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464321.5833964,25.926383018493652,0,,,,
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IPriceOracleSentinel.sol,IPriceOracleSentinel.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464639.1742845,15.721154928207397,255,,,"EXIT_CODE_255,No compiler output for: /sb/IPriceOracleSentinel.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IReserveInterestRateStrategy.sol,IReserveInterestRateStrategy.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464159.9108815,36.04330086708069,255,,,"EXIT_CODE_255,No compiler output for: /sb/IReserveInterestRateStrategy.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IScaledBalanceToken.sol,IScaledBalanceToken.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714468050.4661345,15.480793237686157,0,,,,
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IStableDebtToken.sol,IStableDebtToken.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714468189.943214,18.776628732681274,255,,,"EXIT_CODE_255,No compiler output for: /sb/IStableDebtToken.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IVariableDebtToken.sol,IVariableDebtToken.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464840.4156942,12.444309711456299,255,,,"EXIT_CODE_255,No compiler output for: /sb/IVariableDebtToken.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IVariableDebtTokenRewards.sol,IVariableDebtTokenRewards.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714468115.9637213,15.26010537147522,255,,,"EXIT_CODE_255,No compiler output for: /sb/IVariableDebtTokenRewards.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/interfaces/IVotingEscrow.sol,IVotingEscrow.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464197.9888468,28.057090282440186,0,,,,
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/configuration/ReserveConfiguration.sol,ReserveConfiguration.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714464223.8944912,24.243780374526978,255,,,"EXIT_CODE_255,No compiler output for: /sb/ReserveConfiguration.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/precision_loss/0x53FbcADa1201A465740F2d64eCdF6FAC425f9030/Implementation/lend-core/contracts/protocol/libraries/configuration/UserConfiguration.sol,UserConfiguration.sol,confuzzius,solidity,2022/12/31,20240430_0801,1714468131.2252228,13.159820795059204,255,,,"EXIT_CODE_255,No compiler output for: /sb/UserConfiguration.sol",
