filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/burn_sync/BIGFI_exp/DxBurnToken.sol,DxBurnToken.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714314121.5140598,27.93471121788025,254,,,"EXIT_CODE_254,Problem while deploying contract DxBurnToken using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b''",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/burn_sync/HCT_exp/CoinToken.sol,CoinToken.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714314216.8349776,44.06358003616333,255,,,"EXIT_CODE_255,No compiler output for: /sb/CoinToken.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/burn_sync/Shadowfi_exp/ShadowFi.sol,ShadowFi.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714313931.0544748,71.34329175949097,254,,,"EXIT_CODE_254,Problem while deploying contract DividendDistributor using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b''",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/burn_sync/Sheep_exp/CoinToken.sol,CoinToken.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714313721.5879517,42.37858176231384,255,,,"EXIT_CODE_255,No compiler output for: /sb/CoinToken.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/deliver/BEVO_exp/CoinToken.sol,CoinToken.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714314121.355005,22.63227152824402,255,,,"EXIT_CODE_255,No compiler output for: /sb/CoinToken.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/deliver/BUNN_exp/BunnyProtocol.sol,BunnyProtocol.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714315545.8073952,16.34201145172119,255,,,"EXIT_CODE_255,No compiler output for: /sb/BunnyProtocol.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/deliver/FDP_exp.t/FIREDRAKE.sol,FIREDRAKE.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714315353.075652,19.251189947128296,1,,,EXIT_CODE_1,exception (UnicodeDecodeError: 'ascii' codec can't decode byte 0xc2 in position 31: ordinal not in range(128))
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/deliver/HODLCapital_exp/HODLCapital.sol,HODLCapital.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714315549.323736,14.877851247787476,255,,,"EXIT_CODE_255,No compiler output for: /sb/HODLCapital.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/deliver/MultiChainCapital_exp/MultiChainCapital.sol,MultiChainCapital.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714314086.4169288,34.20274877548218,255,,,"EXIT_CODE_255,No compiler output for: /sb/MultiChainCapital.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/deliver/OLIFE_exp/OceanLife.sol,OceanLife.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714313619.9326787,42.27964639663696,255,,,"EXIT_CODE_255,No compiler output for: /sb/OceanLife.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/deliver/SHOCO_exp/Shoco.sol,Shoco.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714313725.1311288,38.924004793167114,1,,,EXIT_CODE_1,exception (UnicodeDecodeError: 'ascii' codec can't decode byte 0xe2 in position 347: ordinal not in range(128))
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/deliver/TINU_exp.t/TomInu.sol,TomInu.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714315114.6033363,86.38859415054321,255,,,"EXIT_CODE_255,No compiler output for: /sb/TomInu.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/flawed_stake/HeavensGate_exp/@openzeppelin/contracts/access/Ownable.sol.sol,Ownable.sol.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714313338.1554463,70.40808200836182,255,,,"EXIT_CODE_255,No compiler output for: /sb/Ownable.sol.sol",
/home/kaixuan/sast_study/solidity/smartbugs/samples/poc_shift/source_code_vuln/flawed_stake/HeavensGate_exp/@openzeppelin/contracts/token/ERC20/IERC20.sol.sol,IERC20.sol.sol,confuzzius,solidity,2022/12/31,20240428_1408,1714314295.0143564,22.19652533531189,0,,,,
